\,A,T,9,8,7,6,5,4,3,2
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,H,H,H,H,H,S,S,S,S,S
15,H,H,H,H,H,S,S,S,S,S
14,H,H,H,H,H,S,S,S,S,S
13,H,H,H,H,H,S,S,S,S,H
12,H,H,H,H,H,H,H,H,H,H
11,H,H,H,H,H,H,H,H,H,H
10,H,H,H,H,H,H,H,H,H,H
9,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
A9,S,S,S,S,S,S,S,S,S,S
A8,S,S,S,S,S,S,S,S,S,S
A7,H,H,H,S,S,S,S,S,S,S
A6,H,H,H,H,H,H,H,H,H,H
A5,H,H,H,H,H,H,H,H,H,H
A4,H,H,H,H,H,H,H,H,H,H
A3,H,H,H,H,H,H,H,H,H,H
A2,H,H,H,H,H,H,H,H,H,H
AA,H,H,H,H,H,H,H,H,H,H
